"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12292","should show hover state for all product cards","Navbar Products Dropdown","2026-05-28","failed","2026-05-28","","","",""
"","3295","should display selected country and number pricing info","Pricing - Global Numbers","2026-05-28","broken","2026-05-28","","","",""
"","16094","should play custom text audio completely","Voice AI agents","2026-05-28","failed","2026-05-28","","","",""
"","12297","should show hover state for all developer cards","Navbar Developers Dropdown","2026-05-28","failed","2026-05-28","","","",""
"","12402","should show hover state for all pricing cards","Navbar Pricing Dropdown","2026-05-28","failed","2026-05-28","","","",""
"","12099","should increase progress bar while scrolling template steps - Healthcare template","AI Templates","2026-05-28","broken","2026-05-28","","","",""
"","3396","should display Products dropdown content","Navbar Products Dropdown","2026-05-28","passed","2026-05-28","","","",""
"","10735","should display Build Your Agent block and activate all agent buttons","Home page","2026-05-28","passed","2026-05-28","","","",""
"","15818","should play default text audio","Voice AI agents","2026-05-28","failed","2026-05-28","","","",""
"","2330","should display Resources dropdown content","Navbar Resources Dropdown","2026-05-28","passed","2026-05-28","","","",""
"","13490","should show hover state for all Why Telnyx cards","Navbar Why Telnyx Dropdown","2026-05-28","failed","2026-05-28","","","",""
"","13617","should show hover state for all pricing cards","Navbar Pricing Dropdown","2026-05-28","failed","2026-05-28","","","",""
"","12589","should show hover state for all resource cards","Navbar Resources Dropdown","2026-05-28","failed","2026-05-28","","","",""
"","3030","should open Figma integration page","Developers flows","2026-05-28","passed","2026-05-28","","","",""
"","5485","should play default text audio","Voice AI agents","2026-05-28","passed","2026-05-28","","","",""
"","12673","should open Payment Reminder AI Voice Agent from Healthcare templates","AI Templates","2026-05-28","broken","2026-05-28","","","",""
"","9044","should display selected country and number pricing info","Pricing - Global Numbers","2026-05-28","passed","2026-05-28","","","",""
"","3703","should display Agent Execution & Memory section info","Home page","2026-05-28","passed","2026-05-28","","","",""
"","7241","should display Build Your Agent block and activate all agent buttons","Home page","2026-05-28","passed","2026-05-28","","","",""
"","2785","should display Products dropdown content","Navbar Products Dropdown","2026-05-28","passed","2026-05-28","","","",""
"","13840","should show hover state for all product cards","Navbar Products Dropdown","2026-05-28","failed","2026-05-28","","","",""
"","13148","should show hover state for all solution cards","Navbar Solutions Dropdown","2026-05-28","failed","2026-05-28","","","",""
"","12528","should open Payment Reminder AI Voice Agent from Healthcare templates","AI Templates","2026-05-28","broken","2026-05-28","","","",""
"","13145","should open Pay as you go pricing plans","IoT eSIM product page","2026-05-28","passed","2026-05-28","","","",""
"","7068","should play custom text audio completely","Voice AI agents","2026-05-28","passed","2026-05-28","","","",""
"","11945","should increase progress bar while scrolling template steps - Insurance template","AI Templates","2026-05-28","broken","2026-05-28","","","",""
"","1872","should display Solutions dropdown content","Navbar Solutions Dropdown","2026-05-28","passed","2026-05-28","","","",""
"","3136","should update date range","SETI SIP Trunking","2026-05-28","passed","2026-05-28","","","",""
"","1668","should display Resources dropdown content","Navbar Resources Dropdown","2026-05-28","passed","2026-05-28","","","",""
"","1736","should display Why Telnyx dropdown content","Navbar Why Telnyx Dropdown","2026-05-28","passed","2026-05-28","","","",""
"","13060","should show hover state for all solution cards","Navbar Solutions Dropdown","2026-05-28","failed","2026-05-28","","","",""
"","8578","should open ChatGPT with predefined Telnyx question from Ask AI footer link","Home page","2026-05-28","passed","2026-05-28","","","",""
"","2248","should update date range","SETI SIP Trunking","2026-05-28","passed","2026-05-28","","","",""
"","3333","should open LiveKit page from AI dropdown","Developers flows","2026-05-28","passed","2026-05-28","","","",""
"","5814","should send message and display Ukrainian assistant response","Inference product page","2026-05-28","passed","2026-05-28","","","",""
"","7748","should open Pay as you go pricing plans","IoT eSIM product page","2026-05-28","passed","2026-05-28","","","",""
"","2252","should display Pricing dropdown content","Navbar Pricing Dropdown","2026-05-28","passed","2026-05-28","","","",""
"","2145","should display Solutions dropdown content","Navbar Solutions Dropdown","2026-05-28","passed","2026-05-28","","","",""
"","15076","should open ChatGPT with predefined Telnyx question from Ask AI footer link","Home page","2026-05-28","failed","2026-05-28","","","",""
"","13825","should show hover state for all resource cards","Navbar Resources Dropdown","2026-05-28","failed","2026-05-28","","","",""
"","4540","should display Agent Execution & Memory section info","Home page","2026-05-28","passed","2026-05-28","","","",""
"","3411","should open LiveKit page from AI dropdown","Developers flows","2026-05-28","passed","2026-05-28","","","",""
"","5443","should send message and display Ukrainian assistant response","Inference product page","2026-05-28","passed","2026-05-28","","","",""
"","6143","should increase progress bar while scrolling template steps - Insurance template","AI Templates","2026-05-28","passed","2026-05-28","","","",""
"","4003","should display Why Telnyx dropdown content","Navbar Why Telnyx Dropdown","2026-05-28","passed","2026-05-28","","","",""
"","4167","should open Figma integration page","Developers flows","2026-05-28","passed","2026-05-28","","","",""
"","12672","should show hover state for all Why Telnyx cards","Navbar Why Telnyx Dropdown","2026-05-28","failed","2026-05-28","","","",""
"","1412","should display Developers dropdown content","Navbar Developers Dropdown","2026-05-28","passed","2026-05-28","","","",""
"","11843","should increase progress bar while scrolling template steps - Healthcare template","AI Templates","2026-05-28","broken","2026-05-28","","","",""
"","3157","should display Pricing dropdown content","Navbar Pricing Dropdown","2026-05-28","passed","2026-05-28","","","",""
"","12819","should show hover state for all developer cards","Navbar Developers Dropdown","2026-05-28","failed","2026-05-28","","","",""
"","10274","should proceed through SIM cards pricing calculator","IoT eSIM product page","2026-05-28","passed","2026-05-28","","","",""
"","4321","should send message and display assistant response","Inference product page","2026-05-28","passed","2026-05-28","","","",""
"","1942","should display Developers dropdown content","Navbar Developers Dropdown","2026-05-28","passed","2026-05-28","","","",""
"","4410","should send message and display assistant response","Inference product page","2026-05-28","passed","2026-05-28","","","",""
"","8635","should proceed through SIM cards pricing calculator","IoT eSIM product page","2026-05-28","passed","2026-05-28","","","",""
